CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.497461929,,,,,,,1.465608466,,,,,,,,,,,2.239130435,,,,,,,,,,,,,,,,,,2.164179104,,1.8359375,1.732142857,,,1.502590674,,,,,,,,,2.773584906,,,1.702531646,1.505882353,,,,1.428571429,,,1.796747967,,,,,,,,,,2.04,1.451282051,,,,,1.986842105,,1.370786517,,1.25,,,,,,,,2.760869565,,,,,,2.615384615,1.840490798,,,,,,,1.511450382,,,,,,,,,,,,,,,,1.712707182,,,,,,,2.095959596,,,,,,,,,,2.253968254,1.663716814,,,,2.176470588,,,,,,,,,,,,,,,2.442857143,1.862385321,,,,1.805970149,,,,,1.540983607,1.537117904,,,,,,,,,,,2.477272727,,,,,,,1.556213018,,1.47008547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.191925763,,,,,,,1.30568231,,,,,,,,,,,0.736350485,,,,,,,,,,,,,,,,,,,,,0.785015979,,,1.172806897,,,,,,,,,0.842870068,,,1.139387361,1.167435547,,,,1.438379259,,,0.869302262,,,,,,,,,,0.884085621,1.053935336,,,,,0.835479139,,1.065631148,,,,,,,,,,0.88670315,,,,,,0.765227206,0.663123667,,,,,,,1.083107071,,,,,,,,,,,,,,,,1.31420871,,,,,,,0.918649398,,,,,,,,,,0.980650704,1.027432447,,,,0.779292793,,,,,,,,,,,,,,,0.73018655,0.938734975,,,,1.021162397,,,,,1.123380142,1.020142045,,,,,,,,,,,,,,,,,,1.497058935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,31200,,,,,,,29000,,,,,,,,,,,10900,,,,,,,,,,,,,,,,,,15800,,24900,20200,,,31100,,,,,,,,,17200,,,29800,26700,,,,29000,,,23100,,,,,,,,,,16000,30900,,,,,32900,,26100,,26300,,,,,,,,14600,,,,,,16100,65900,,,,,,,20300,,,,,,,,,,,,,,,,33600,,,,,,,48000,,,,,,,,,,14100,19500,,,,11700,,,,,,,,,,,,,,,18100,22700,,,,25900,,,,,31000,37200,,,,,,,,,,,11700,,,,,,,28600,,36700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.583756345,,,,,,,1.534391534,,,,,,,,,,,2.369565217,,,,,,,,,,,,,,,,,,2.358208955,,1.9453125,1.803571429,,,1.611398964,,,,,,,,,3.245283019,,,1.886075949,1.570588235,,,,1.534391534,,,1.87804878,,,,,,,,,,2.133333333,1.584615385,,,,,2.164473684,,1.466292135,,1.369791667,,,,,,,,3.173913043,,,,,,3.096153846,2.021472393,,,,,,,1.549618321,,,,,,,,,,,,,,,,1.856353591,,,,,,,2.424242424,,,,,,,,,,2.238095238,1.725663717,,,,2.294117647,,,,,,,,,,,,,,,2.585714286,2.082568807,,,,1.932835821,,,,,1.693989071,1.624454148,,,,,,,,,,,2.659090909,,,,,,,1.692307692,,1.568376068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.132448397,,,,,,,1.270981034,,,,,,,,,,,0.623245872,,,,,,,,,,,,,,,,,,,,,0.749440594,,,1.109196141,,,,,,,,,0.751506977,,,1.033639262,1.123465169,,,,1.379043793,,,0.794018615,,,,,,,,,,0.8373875,1.182380583,,,,,0.766240122,,0.999673563,,,,,,,,,,0.743056849,,,,,,0.696958385,0.607483915,,,,,,,1.069154187,,,,,,,,,,,,,,,,1.224919048,,,,,,,0.799172292,,,,,,,,,,0.985105674,0.972278462,,,,0.742350427,,,,,,,,,,,,,,,0.674733702,0.843737004,,,,0.943251351,,,,,1.04424,0.976017473,,,,,,,,,,,,,,,,,,1.435965385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,30900,,,,,,,28900,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,15200,,23600,20700,,,30600,,,,,,,,,17500,,,29400,26900,,,,28900,,,22500,,,,,,,,,,15400,30200,,,,,36500,,26000,,27100,,,,,,,,14300,,,,,,15500,68500,,,,,,,19600,,,,,,,,,,,,,,,,33100,,,,,,,45400,,,,,,,,,,13600,19600,,,,10400,,,,,,,,,,,,,,,16900,22100,,,,26200,,,,,31200,36000,,,,,,,,,,,11300,,,,,,,29500,,37800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.568527919,,,,,,,1.529100529,,,,,,,,,,,2.173913043,,,,,,,,,,,,,,,,,,2.268656716,,1.84375,1.848214286,,,1.585492228,,,,,,,,,3.301886792,,,1.860759494,1.582352941,,,,1.529100529,,,1.829268293,,,,,,,,,,2.053333333,1.548717949,,,,,2.401315789,,1.460674157,,1.411458333,,,,,,,,3.108695652,,,,,,2.980769231,2.101226994,,,,,,,1.496183206,,,,,,,,,,,,,,,,1.828729282,,,,,,,2.292929293,,,,,,,,,,2.158730159,1.734513274,,,,2.039215686,,,,,,,,,,,,,,,2.414285714,2.027522936,,,,1.955223881,,,,,1.704918033,1.572052402,,,,,,,,,,,2.568181818,,,,,,,1.74556213,,1.615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.143162136,,,,,,,1.245096194,,,,,,,,,,,0.569202,,,,,,,,,,,,,,,,,,,,,0.699029469,,,1.106650654,,,,,,,,,0.696364571,,,1.011439796,1.115114498,,,,1.371207958,,,0.818766667,,,,,,,,,,0.83500974,1.287995033,,,,,0.688691233,,0.968434231,,,,,,,,,,0.702543357,,,,,,0.679733548,0.575678686,,,,,,,1.050182653,,,,,,,,,,,,,,,,1.243953474,,,,,,,0.841178414,,,,,,,,,,1.016628676,0.958021429,,,,0.727108654,,,,,,,,,,,,,,,0.667660947,0.838914932,,,,0.903848473,,,,,1.009524359,1.013070556,,,,,,,,,,,,,,,,,,1.443972203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,29800,,,,,,,27900,,,,,,,,,,,9000,,,,,,,,,,,,,,,,,,13700,,22000,18900,,,29300,,,,,,,,,15600,,,27000,25600,,,,27300,,,21800,,,,,,,,,,14900,29200,,,,,34400,,24700,,25900,,,,,,,,12500,,,,,,13600,63900,,,,,,,18600,,,,,,,,,,,,,,,,31000,,,,,,,43800,,,,,,,,,,12300,18700,,,,9100,,,,,,,,,,,,,,,15000,20700,,,,24800,,,,,29100,33000,,,,,,,,,,,10500,,,,,,,28900,,36500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.512690355,,,,,,,1.476190476,,,,,,,,,,,1.956521739,,,,,,,,,,,,,,,,,,2.044776119,,1.71875,1.6875,,,1.518134715,,,,,,,,,2.943396226,,,1.708860759,1.505882353,,,,1.444444444,,,1.772357724,,,,,,,,,,1.986666667,1.497435897,,,,,2.263157895,,1.387640449,,1.348958333,,,,,,,,2.717391304,,,,,,2.615384615,1.960122699,,,,,,,1.419847328,,,,,,,,,,,,,,,,1.712707182,,,,,,,2.212121212,,,,,,,,,,1.952380952,1.654867257,,,,1.784313725,,,,,,,,,,,,,,,2.142857143,1.899082569,,,,1.850746269,,,,,1.590163934,1.441048035,,,,,,,,,,,2.386363636,,,,,,,1.710059172,,1.55982906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.156682215,,,,,,,1.253676703,,,,,,,,,,,0.543368889,,,,,,,,,,,,,,,,,,,,,0.710856085,,,1.094046758,,,,,,,,,0.697427564,,,1.012240741,1.128842578,,,,1.39737619,,,0.788093578,,,,,,,,,,0.832802685,1.239553425,,,,,0.698825872,,0.98057166,,,,,,,,,,0.6861712,,,,,,0.659925,0.611761972,,,,,,,1.091325269,,,,,,,,,,,,,,,,1.264973548,,,,,,,0.807321005,,,,,,,,,,0.978063415,0.937427807,,,,0.707994505,,,,,,,,,,,,,,,0.689476667,0.86216087,,,,0.929991129,,,,,1.017397595,1.035715455,,,,,,,,,,,,,,,,,,1.441915571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,28200,,,,,,,27000,,,,,,,,,,,8200,,,,,,,,,,,,,,,,,,12800,,20900,17800,,,27800,,,,,,,,,13800,,,25700,24700,,,,26100,,,20400,,,,,,,,,,14200,29300,,,,,32500,,23700,,25500,,,,,,,,11100,,,,,,12300,57100,,,,,,,18100,,,,,,,,,,,,,,,,29400,,,,,,,39900,,,,,,,,,,11500,17900,,,,7900,,,,,,,,,,,,,,,13500,19600,,,,22900,,,,,27400,30700,,,,,,,,,,,9500,,,,,,,27900,,35700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.431472081,,,,,,,1.428571429,,,,,,,,,,,1.782608696,,,,,,,,,,,,,,,,,,1.910447761,,1.6328125,1.589285714,,,1.440414508,,,,,,,,,2.603773585,,,1.626582278,1.452941176,,,,1.380952381,,,1.658536585,,,,,,,,,,1.893333333,1.502564103,,,,,2.138157895,,1.331460674,,1.328125,,,,,,,,2.413043478,,,,,,2.365384615,1.751533742,,,,,,,1.381679389,,,,,,,,,,,,,,,,1.624309392,,,,,,,2.015151515,,,,,,,,,,1.825396825,1.584070796,,,,1.549019608,,,,,,,,,,,,,,,1.928571429,1.798165138,,,,1.708955224,,,,,1.49726776,1.340611354,,,,,,,,,,,2.159090909,,,,,,,1.650887574,,1.525641026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.175812766,,,,,,,1.275015185,,,,,,,,,,,0.556147561,,,,,,,,,,,,,,,,,,,,,0.709989888,,,1.100269424,,,,,,,,,0.705699275,,,1.030980934,1.140679757,,,,1.434072031,,,0.78797598,,,,,,,,,,0.813932394,1.1764843,,,,,0.721074769,,0.98411308,,,,,,,,,,0.670364865,,,,,,0.648885366,0.659328897,,,,,,,1.105377348,,,,,,,,,,,,,,,,1.256168707,,,,,,,0.84103183,,,,,,,,,,0.985997391,0.921196648,,,,0.731948101,,,,,,,,,,,,,,,0.71497037,0.870496939,,,,0.986948035,,,,,1.040728467,1.090457329,,,,,,,,,,,,,,,,,,1.447094982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,27700,,,,,,,26300,,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,12200,,19700,16900,,,27200,,,,,,,,,12400,,,25200,23700,,,,25000,,,20300,,,,,,,,,,13600,28400,,,,,30900,,23200,,24800,,,,,,,,10100,,,,,,11200,54600,,,,,,,17300,,,,,,,,,,,,,,,,28000,,,,,,,35800,,,,,,,,,,11000,16700,,,,7400,,,,,,,,,,,,,,,12300,18800,,,,21900,,,,,27400,30000,,,,,,,,,,,8600,,,,,,,27000,,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.406091371,,,,,,,1.391534392,,,,,,,,,,,1.630434783,,,,,,,,,,,,,,,,,,1.820895522,,1.5390625,1.508928571,,,1.409326425,,,,,,,,,2.339622642,,,1.594936709,1.394117647,,,,1.322751323,,,1.650406504,,,,,,,,,,1.813333333,1.456410256,,,,,2.032894737,,1.303370787,,1.291666667,,,,,,,,2.195652174,,,,,,2.153846154,1.674846626,,,,,,,1.320610687,,,,,,,,,,,,,,,,1.546961326,,,,,,,1.808080808,,,,,,,,,,1.746031746,1.477876106,,,,1.450980392,,,,,,,,,,,,,,,1.757142857,1.724770642,,,,1.634328358,,,,,1.49726776,1.310043668,,,,,,,,,,,1.954545455,,,,,,,1.597633136,,1.452991453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.151522022,,,,,,,1.271701141,,,,,,,,,,,0.517301333,,,,,,,,,,,,,,,,,,,,,0.70018284,,,1.120486765,,,,,,,,,0.731801613,,,1.006902778,1.136000844,,,,1.4546564,,,0.776927094,,,,,,,,,,0.799743382,1.055019366,,,,,0.718683172,,0.974398276,,,,,,,,,,0.671288119,,,,,,0.661946429,0.721165201,,,,,,,1.13932659,,,,,,,,,,,,,,,,1.275185714,,,,,,,0.903705866,,,,,,,,,,1.018382727,0.93887006,,,,0.752355405,,,,,,,,,,,,,,,0.70596748,0.878080319,,,,1.006130137,,,,,1.007094526,1.083261667,,,,,,,,,,,,,,,,,,1.474545556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
